bun test v1.3.14 (0d9b296a)

test/e2e/fleet.e2e.ts.test.ts:
timestamp=2026-06-15T01:11:20.575Z level=INFO fiber=#5 message="Gateway run started" gateway:run=0ms runId=run-atlas transport=ws triggeredBy=fleet-control role=operator workflow=panopticon-fleet-control service=smithers source=user userId=fleet-control resume=false connectionId=fleet-control:connection
timestamp=2026-06-15T01:11:22.488Z level=INFO fiber=#808 message="getNodeOutput completed" runId=run-atlas durationMs=1.2923329999998714 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.515Z level=INFO fiber=#814 message="getNodeOutput completed" runId=run-atlas durationMs=1.8709170000001905 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.539Z level=INFO fiber=#820 message="getNodeOutput completed" runId=run-atlas durationMs=1.8349580000003698 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.566Z level=INFO fiber=#826 message="getNodeOutput completed" runId=run-atlas durationMs=1.947957999999744 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.595Z level=INFO fiber=#832 message="getNodeOutput completed" runId=run-atlas durationMs=1.6931660000000193 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.618Z level=INFO fiber=#838 message="getNodeOutput completed" runId=run-atlas durationMs=1.507916000000023 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.644Z level=INFO fiber=#844 message="getNodeOutput completed" runId=run-atlas durationMs=1.5923750000001746 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.668Z level=INFO fiber=#850 message="getNodeOutput completed" runId=run-atlas durationMs=1.3181670000003578 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.691Z level=INFO fiber=#856 message="getNodeOutput completed" runId=run-atlas durationMs=1.2797500000001492 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.717Z level=INFO fiber=#862 message="getNodeOutput completed" runId=run-atlas durationMs=1.4644579999999223 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
